id,price,currency,rooms,area,floor,hasRepair,location,city,price_per_m2
6466784,303000,AZN,3,105.0,9.0,True,İnşaatçılar,Bakı,2885.71
6406285,303000,AZN,3,86.3,9.0,True,Qara Qarayev,Bakı,3511.01
6376906,295000,AZN,3,125.0,17.0,True,İnşaatçılar,Bakı,2360.0
6486957,465000,AZN,3,140.0,4.0,True,Şah İsmayıl Xətai,Bakı,3321.43
6445114,66300,AZN,1,40.0,4.0,True,Masazır,Bakı,1657.5
5824417,144450,AZN,4,107.0,7.0,False,Məmmədli,Bakı,1350.0
5883708,99900,AZN,2,74.0,8.0,False,Məmmədli,Bakı,1350.0
6383069,369500,AZN,3,86.6,2.0,True,Sea Breeze,Bakı,4266.74
5504945,459306,AZN,2,94.8,4.0,True,Sea Breeze,Bakı,4845.0
5056392,300000,AZN,1,75.0,4.0,True,Sea Breeze,Bakı,4000.0
4967643,236168,AZN,2,89.1,6.0,False,Dərnəgül,Bakı,2650.59
6454440,450000,AZN,3,90.0,10.0,True,Sahil,Bakı,5000.0
6455968,230000,AZN,2,68.7,8.0,True,8 Noyabr,Bakı,3347.89
6458630,120000,AZN,2,35.0,1.0,True,Memar Əcəmi,Bakı,3428.57
6404756,220000,AZN,3,126.3,17.0,True,Nizami,Bakı,1741.88
6484180,355000,AZN,5,150.0,3.0,True,Səbail,Bakı,2366.67
6464305,850000,AZN,8,390.0,,False,Sea Breeze,Bakı,2179.49
6049090,205000,AZN,1,54.0,1.0,False,Sea Breeze,Bakı,3796.3
4768323,1200000,AZN,5,230.0,,True,Nardaran,Bakı,5217.39
6464483,278280,AZN,3,77.3,15.0,True,20 Yanvar,Bakı,3600.0
5827932,233400,AZN,2,77.8,20.0,True,20 Yanvar,Bakı,3000.0
6465534,262150,AZN,3,74.9,2.0,True,20 Yanvar,Bakı,3500.0
6412250,198000,AZN,2,46.0,5.0,True,Koroğlu,Bakı,4304.35
6464007,585000,AZN,4,170.0,,True,Mərdəkan,Bakı,3441.18
5504127,416500,AZN,2,98.0,4.0,False,Sea Breeze,Bakı,4250.0
6442333,155000,AZN,2,45.0,13.0,True,Avtovağzal,Bakı,3444.44
6391494,140000,AZN,1,57.0,2.0,False,Sea Breeze,Bakı,2456.14
5010781,279000,AZN,1,47.0,3.0,True,Sea Breeze,Bakı,5936.17
6049365,414000,AZN,2,102.0,4.0,False,Sea Breeze,Bakı,4058.82
6412501,765000,AZN,3,139.0,4.0,True,Sea Breeze,Bakı,5503.6
6412505,409000,AZN,2,78.0,2.0,True,Sea Breeze,Bakı,5243.59
6412495,299000,AZN,1,57.0,4.0,True,Sea Breeze,Bakı,5245.61
4158518,538500,AZN,4,179.5,3.0,False,8 Noyabr,Bakı,3000.0
4090254,401082,AZN,3,129.8,6.0,False,8 Noyabr,Bakı,3090.0
4223527,401700,AZN,3,130.0,6.0,False,8 Noyabr,Bakı,3090.0
6486914,148000,AZN,3,48.0,3.0,True,Həzi Aslanov,Bakı,3083.33
3916315,283081,AZN,3,89.3,7.0,False,8 Noyabr,Bakı,3170.0
6283839,353000,AZN,3,134.0,6.0,True,8 Noyabr,Bakı,2634.33
3916248,289731,AZN,3,89.7,9.0,False,8 Noyabr,Bakı,3230.0
4114907,436800,AZN,3,130.0,15.0,False,8 Noyabr,Bakı,3360.0
4170452,163115,AZN,2,50.5,9.0,False,8 Noyabr,Bakı,3230.0
4114924,263360,AZN,3,82.3,8.0,False,8 Noyabr,Bakı,3200.0
4090316,554655,AZN,4,179.5,6.0,False,8 Noyabr,Bakı,3090.0
5936841,233000,AZN,2,98.0,9.0,False,Nardaran,Bakı,2377.55
5869316,232000,AZN,2,76.0,2.0,False,Nardaran,Bakı,3052.63
4223502,404976,AZN,3,129.8,7.0,False,8 Noyabr,Bakı,3120.0
4057824,158570,AZN,2,50.5,6.0,False,8 Noyabr,Bakı,3140.0
4530269,536928,AZN,3,150.4,4.0,False,Nardaran,Bakı,3570.0
4127590,287040,AZN,3,89.7,8.0,False,8 Noyabr,Bakı,3200.0
4076305,164630,AZN,2,50.5,10.0,False,8 Noyabr,Bakı,3260.0
4170473,268298,AZN,3,82.3,10.0,False,8 Noyabr,Bakı,3260.0
4158487,160085,AZN,2,50.5,7.0,False,8 Noyabr,Bakı,3170.0
3334218,245000,AZN,1,59.4,,True,Nardaran,Bakı,4124.58
6485118,600000,AZN,2,110.0,6.0,True,İçəri Şəhər,Bakı,5454.55
4672911,165500,AZN,1,48.0,3.0,False,Nardaran,Bakı,3447.92
6295052,272000,AZN,1,54.0,3.0,True,Sea Breeze,Bakı,5037.04
6453631,120000,AZN,2,40.0,4.0,True,Qara Qarayev,Bakı,3000.0
4212393,174000,AZN,1,58.0,2.0,False,Nardaran,Bakı,3000.0
6444730,420000,AZN,3,161.0,3.0,True,Nəriman Nərimanov,Bakı,2608.7
