id,price,currency,rooms,area,floor,floors,hasRepair,isVipped,isFeatured,location,city,price_per_m2
6176591,310000,AZN,2,81.0,3,17,True,False,False,Gənclik,Bakı,3827.16
5897242,310000,AZN,3,119.0,2,15,True,False,False,Neftçilər,Bakı,2605.04
6480127,339000,AZN,3,85.0,5,20,True,True,False,Şah İsmayıl Xətai,Bakı,3988.24
6398388,690000,AZN,4,210.0,3,14,True,True,False,İçəri Şəhər,Bakı,3285.71
6417622,270000,AZN,3,77.0,4,17,True,False,False,İnşaatçılar,Bakı,3506.49
6455664,289000,AZN,3,100.0,6,20,True,True,False,20 Yanvar,Bakı,2890.0
6494896,240000,AZN,4,112.0,4,9,True,False,False,Əhmədli,Bakı,2142.86
6455968,230000,AZN,2,68.7,8,18,True,True,True,8 Noyabr,Bakı,3347.89
6459894,798000,AZN,4,183.0,6,17,True,True,False,Gənclik,Bakı,4360.66
6437248,303000,AZN,3,87.0,9,16,True,False,False,Qara Qarayev,Bakı,3482.76
6494893,293000,AZN,4,122.0,5,9,True,False,False,Bayıl,Bakı,2401.64
6371693,151000,AZN,2,55.0,4,5,True,False,False,İnşaatçılar,Bakı,2745.45
6209749,338000,AZN,3,107.0,9,17,True,False,False,Koroğlu,Bakı,3158.88
6494891,178000,AZN,3,70.0,1,9,True,False,False,Yeni Yasamal,Bakı,2542.86
6494890,285000,AZN,4,135.0,13,16,True,False,False,Həzi Aslanov,Bakı,2111.11
6391554,163000,AZN,3,80.0,2,4,True,False,False,Avtovağzal,Bakı,2037.5
6492216,167000,AZN,3,60.0,8,12,True,True,False,İnşaatçılar,Bakı,2783.33
6358627,490000,AZN,2,95.0,2,7,True,True,False,Ağ şəhər,Bakı,5157.89
6494889,191000,AZN,3,115.0,12,19,True,False,False,Bakıxanov,Bakı,1660.87
6203903,220000,AZN,3,88.0,4,5,True,False,False,İnşaatçılar,Bakı,2500.0
6466828,420000,AZN,4,120.0,7,10,True,True,False,Səbail,Bakı,3500.0
6246300,430000,AZN,4,137.0,10,15,True,True,False,Şah İsmayıl Xətai,Bakı,3138.69
5909818,259000,AZN,3,96.0,6,14,False,True,True,Nərimanov,Bakı,2697.92
6494888,310000,AZN,2,82.0,17,17,True,False,False,Nəsimi,Bakı,3780.49
6409461,300000,AZN,3,105.0,8,16,True,False,False,Qara Qarayev,Bakı,2857.14
6477850,150000,AZN,2,55.0,5,5,True,True,True,İnşaatçılar,Bakı,2727.27
6209748,219000,AZN,2,59.0,13,17,True,False,False,Koroğlu,Bakı,3711.86
6412026,299000,AZN,4,135.0,13,16,True,False,False,Həzi Aslanov,Bakı,2214.81
6395961,258000,AZN,3,105.0,12,15,True,False,False,Həzi Aslanov,Bakı,2457.14
6396767,1650000,AZN,4,220.0,8,20,False,False,False,Ağ şəhər,Bakı,7500.0
6442325,258000,AZN,2,85.0,16,18,True,False,False,Həzi Aslanov,Bakı,3035.29
6489581,255000,AZN,3,90.0,3,5,True,True,True,8-ci mikrorayon,Bakı,2833.33
6099766,309000,AZN,4,110.0,5,6,True,False,False,İçəri Şəhər,Bakı,2809.09
6452231,210000,AZN,3,90.0,6,9,True,False,False,20 Yanvar,Bakı,2333.33
6303325,465000,AZN,4,180.0,11,16,True,False,False,Nəriman Nərimanov,Bakı,2583.33
6483689,289000,AZN,3,95.0,5,17,True,False,False,Qara Qarayev,Bakı,3042.11
6430270,355000,AZN,5,130.0,3,9,True,False,False,Nəsimi,Bakı,2730.77
6369753,265000,AZN,3,101.0,1,17,True,False,False,İnşaatçılar,Bakı,2623.76
6332264,424000,AZN,3,120.0,13,15,True,False,False,Nəsimi,Bakı,3533.33
6428977,225000,AZN,3,90.0,4,5,True,False,False,Nəsimi,Bakı,2500.0
6340284,650000,AZN,3,138.0,15,17,True,False,False,Nizami,Bakı,4710.14
6363715,935000,AZN,2,95.0,17,25,True,True,False,Nəriman Nərimanov,Bakı,9842.11
5871177,160000,AZN,3,90.0,8,9,True,False,False,Yeni Günəşli,Bakı,1777.78
6487422,225000,AZN,2,74.0,13,17,True,True,False,Xalqlar Dostluğu,Bakı,3040.54
6465393,138000,AZN,2,50.0,4,9,True,False,False,Həzi Aslanov,Bakı,2760.0
6411734,250000,AZN,2,80.0,2,5,True,False,False,Bakıxanov,Bakı,3125.0
6448557,155000,AZN,2,55.0,5,9,True,False,False,Nəsimi,Bakı,2818.18
6441132,247000,AZN,2,85.0,15,17,True,False,False,Azadlıq Prospekti,Bakı,2905.88
6451062,185000,AZN,2,46.0,15,16,True,True,False,Qara Qarayev,Bakı,4021.74
6410036,270000,AZN,2,85.0,9,18,True,False,False,Nəriman Nərimanov,Bakı,3176.47
6474882,265000,AZN,2,75.0,8,17,True,False,False,İnşaatçılar,Bakı,3533.33
6491989,290000,AZN,3,100.0,12,18,True,False,False,7-ci mikrorayon,Bakı,2900.0
6472215,145000,AZN,2,60.0,5,9,True,False,False,Xətai,Bakı,2416.67
6482516,690000,AZN,3,279.0,16,16,True,True,False,Nəsimi,Bakı,2473.12
6410202,163000,AZN,2,60.0,6,9,True,False,False,Xətai,Bakı,2716.67
6453070,285000,AZN,5,125.0,1,5,True,False,False,Səbail,Bakı,2280.0
6462887,350000,AZN,3,100.0,16,19,True,False,False,8 Noyabr,Bakı,3500.0
6370874,169000,AZN,2,80.0,1,9,True,False,False,İnşaatçılar,Bakı,2112.5
6459652,520000,AZN,3,138.0,12,18,True,True,True,Nəsimi,Bakı,3768.12
6491585,267000,AZN,3,95.0,7,17,True,True,False,Neftçilər,Bakı,2810.53
6387334,275000,AZN,3,145.0,1,6,False,True,True,Xətai,Bakı,1896.55
6339524,164000,AZN,3,67.0,10,16,True,False,False,İnşaatçılar,Bakı,2447.76
6494882,285000,AZN,3,134.0,8,17,True,False,False,Memar Əcəmi,Bakı,2126.87
6311784,185000,AZN,2,65.0,5,5,True,False,False,Elmlər Akademiyası,Bakı,2846.15
6491995,285000,AZN,3,76.0,9,15,True,False,False,İnşaatçılar,Bakı,3750.0
6475390,245000,AZN,3,102.0,13,18,True,False,False,Nəsimi,Bakı,2401.96
6428869,165000,AZN,3,75.0,3,17,True,False,False,Yeni Günəşli,Bakı,2200.0
6350270,310000,AZN,3,133.0,3,18,True,False,False,Xalqlar Dostluğu,Bakı,2330.83
6456913,118000,AZN,1,40.0,2,5,True,True,True,8 Noyabr,Bakı,2950.0
6480284,420000,AZN,3,139.0,10,16,True,True,True,Neftçilər,Bakı,3021.58
6077713,213000,AZN,3,90.0,9,16,True,False,False,20 Yanvar,Bakı,2366.67
6468478,190000,AZN,2,65.0,13,14,True,False,False,Xalqlar Dostluğu,Bakı,2923.08
6385070,255000,AZN,3,80.0,7,9,True,False,False,Koroğlu,Bakı,3187.5
6366432,350000,AZN,3,135.0,12,14,True,True,True,8-ci mikrorayon,Bakı,2592.59
6461300,253000,AZN,2,103.8,5,9,False,True,True,Sea Breeze,Bakı,2437.38
6494878,500000,AZN,4,120.0,14,20,True,False,False,Şah İsmayıl Xətai,Bakı,4166.67
6414973,690000,AZN,4,152.0,4,11,True,True,False,28 May,Bakı,4539.47
6392581,298000,AZN,3,110.0,3,17,True,False,False,Elmlər Akademiyası,Bakı,2709.09
6479507,154000,AZN,2,47.0,2,10,True,False,False,Xalqlar Dostluğu,Bakı,3276.6
6433805,239275,AZN,1,56.3,3,7,False,True,True,Nardaran,Bakı,4250.0
6375758,330000,AZN,3,110.0,14,19,True,True,False,İnşaatçılar,Bakı,3000.0
5771629,300000,AZN,3,136.0,9,16,True,True,False,Memar Əcəmi,Bakı,2205.88
6255792,335000,AZN,3,150.0,4,24,False,True,True,Şah İsmayıl Xətai,Bakı,2233.33
6082787,229000,AZN,2,59.0,5,6,True,False,False,Nizami,Bakı,3881.36
6164080,263000,AZN,2,66.0,6,21,True,True,True,Şah İsmayıl Xətai,Bakı,3984.85
6360564,230000,AZN,2,100.0,5,6,False,False,False,Şıxov,Bakı,2300.0
6336500,285000,AZN,3,122.0,11,16,True,False,False,Yasamal,Bakı,2336.07
6432602,478000,AZN,3,133.0,12,16,False,True,False,28 May,Bakı,3593.98
6366294,245000,AZN,2,90.0,13,16,True,False,False,Binəqədi,Bakı,2722.22
5919361,1380000,AZN,5,224.0,11,16,True,True,False,İçəri Şəhər,Bakı,6160.71
5902061,255000,AZN,2,70.0,16,16,True,True,True,Şah İsmayıl Xətai,Bakı,3642.86
6459982,650000,AZN,4,220.0,3,14,True,True,False,28 May,Bakı,2954.55
6348929,489000,AZN,3,100.0,3,7,True,False,False,Şah İsmayıl Xətai,Bakı,4890.0
6473474,215000,AZN,4,110.0,5,5,True,False,False,Gənclik,Bakı,1954.55
6331868,170000,AZN,3,55.0,3,4,True,False,False,Gənclik,Bakı,3090.91
6485506,285000,AZN,3,122.0,11,12,True,False,False,Yeni Yasamal,Bakı,2336.07
6369142,530000,AZN,5,210.0,2,8,True,True,False,Nəsimi,Bakı,2523.81
6474492,420000,AZN,3,110.0,5,6,True,True,False,İçəri Şəhər,Bakı,3818.18
6485614,245000,AZN,2,90.0,13,16,True,False,False,Biləcəri,Bakı,2722.22
6354285,395000,AZN,4,169.0,9,15,False,False,False,Koroğlu,Bakı,2337.28
6400053,85500,AZN,2,57.0,11,16,False,True,False,Lökbatan,Bakı,1500.0
5459397,345000,AZN,3,110.0,2,18,True,False,False,Gənclik,Bakı,3136.36
6095562,425000,AZN,3,140.0,3,13,True,False,False,Nərimanov,Bakı,3035.71
6477033,385000,AZN,4,210.0,16,16,True,True,False,Nəriman Nərimanov,Bakı,1833.33
6475056,103000,AZN,2,50.0,3,4,True,False,False,Masazır,Bakı,2060.0
6494871,350000,AZN,4,128.0,21,22,False,False,False,Nizami,Bakı,2734.38
6448370,349000,AZN,3,105.0,12,15,True,False,False,Həzi Aslanov,Bakı,3323.81
6390195,242000,AZN,3,80.0,12,15,True,False,False,Həzi Aslanov,Bakı,3025.0
