id,price,currency,rooms,area,floor,hasRepair,location,city
6466784,303000,AZN,3,105.0,9,True,İnşaatçılar,Bakı
6451938,1500,AZN,2,70.0,,True,Şah İsmayıl Xətai,Bakı
6406285,303000,AZN,3,86.3,9,True,Qara Qarayev,Bakı
6376906,295000,AZN,3,125.0,17,True,İnşaatçılar,Bakı
6486957,465000,AZN,3,140.0,4,True,Şah İsmayıl Xətai,Bakı
6445114,66300,AZN,1,40.0,4,True,Masazır,Bakı
5824417,144450,AZN,4,107.0,7,False,Məmmədli,Bakı
5883708,99900,AZN,2,74.0,8,False,Məmmədli,Bakı
6383069,369500,AZN,3,86.6,2,True,Sea Breeze,Bakı
5504945,459306,AZN,2,94.8,4,True,Sea Breeze,Bakı
6175853,250,AZN,3,110.0,,True,Bilgəh,Bakı
5056392,300000,AZN,1,75.0,4,True,Sea Breeze,Bakı
4967643,236168,AZN,2,89.1,6,False,Dərnəgül,Bakı
6454440,450000,AZN,3,90.0,10,True,Sahil,Bakı
6444349,255000,AZN,3,104.0,9,True,,Sumqayıt
4472383,72640,AZN,1,45.4,4,False,,Sumqayıt
6175727,300,AZN,5,180.0,,True,Bilgəh,Bakı
6455968,230000,AZN,2,68.7,8,True,8 Noyabr,Bakı
6458630,120000,AZN,2,35.0,1,True,Memar Əcəmi,Bakı
6404756,220000,AZN,3,126.3,17,True,Nizami,Bakı
6484180,355000,AZN,5,150.0,3,True,Səbail,Bakı
6464305,850000,AZN,8,390.0,,False,Sea Breeze,Bakı
6049090,205000,AZN,1,54.0,1,False,Sea Breeze,Bakı
6327422,900,AZN,,60.0,,True,28 May,Bakı
4768323,1200000,AZN,5,230.0,,True,Nardaran,Bakı
6464483,278280,AZN,3,77.3,15,True,20 Yanvar,Bakı
5827932,233400,AZN,2,77.8,20,True,20 Yanvar,Bakı
6465534,262150,AZN,3,74.9,2,True,20 Yanvar,Bakı
6412250,198000,AZN,2,46.0,5,True,Koroğlu,Bakı
6464007,585000,AZN,4,170.0,,True,Mərdəkan,Bakı
5504127,416500,AZN,2,98.0,4,False,Sea Breeze,Bakı
6442333,155000,AZN,2,45.0,13,True,Avtovağzal,Bakı
6391494,140000,AZN,1,57.0,2,False,Sea Breeze,Bakı
5010781,279000,AZN,1,47.0,3,True,Sea Breeze,Bakı
6049365,414000,AZN,2,102.0,4,False,Sea Breeze,Bakı
6406243,233,AZN,3,100.0,10,True,Elmlər Akademiyası,Bakı
6470606,89500,AZN,2,69.0,3,True,,Xırdalan
6412501,765000,AZN,3,139.0,4,True,Sea Breeze,Bakı
6412505,409000,AZN,2,78.0,2,True,Sea Breeze,Bakı
6412495,299000,AZN,1,57.0,4,True,Sea Breeze,Bakı
6327057,250000,AZN,,17.0,,,Digah,Bakı
4158518,538500,AZN,4,179.5,3,False,8 Noyabr,Bakı
4090254,401082,AZN,3,129.8,6,False,8 Noyabr,Bakı
6483850,135000,AZN,,15.0,,,,Qəbələ
4223527,401700,AZN,3,130.0,6,False,8 Noyabr,Bakı
6486914,148000,AZN,3,48.0,3,True,Həzi Aslanov,Bakı
4989746,250,AZN,7,300.0,,True,Şüvəlan,Bakı
3916315,283081,AZN,3,89.3,7,False,8 Noyabr,Bakı
6283839,353000,AZN,3,134.0,6,True,8 Noyabr,Bakı
3916248,289731,AZN,3,89.7,9,False,8 Noyabr,Bakı
4114907,436800,AZN,3,130.0,15,False,8 Noyabr,Bakı
4170452,163115,AZN,2,50.5,9,False,8 Noyabr,Bakı
4114924,263360,AZN,3,82.3,8,False,8 Noyabr,Bakı
4090316,554655,AZN,4,179.5,6,False,8 Noyabr,Bakı
5936841,233000,AZN,2,98.0,9,False,Nardaran,Bakı
5869316,232000,AZN,2,76.0,2,False,Nardaran,Bakı
