id,price,currency,rooms,area,location,city,price_per_m2
6431979,257499,AZN,1,56.1,Nardaran,Bakı,4590.0
6439440,85000,AZN,3,100.0,Abşeron,Bakı,850.0
6443448,255000,AZN,3,80.0,Yasamal,Bakı,3187.5
6418708,365000,AZN,4,142.0,Qara Qarayev,Bakı,2570.42
3466697,909500,AZN,5,267.5,Nizami,Bakı,3400.0
6386543,735000,AZN,4,160.0,Nizami,Bakı,4593.75
5044313,456000,AZN,2,114.0,Nizami,Bakı,4000.0
5047008,783360,AZN,4,230.4,Nizami,Bakı,3400.0
5047084,909500,AZN,5,267.5,Nəsimi,Bakı,3400.0
5786668,416000,AZN,2,104.0,Nizami,Bakı,4000.0
6472459,114000,AZN,3,80.0,Masazır,Bakı,1425.0
5555449,449616,AZN,2,82.7,Sea Breeze,Bakı,5436.71
5786592,348000,AZN,2,87.0,Nizami,Bakı,4000.0
5047211,592960,AZN,3,174.4,Nizami,Bakı,3400.0
6458467,260000,AZN,4,135.0,Xocəsən,Bakı,1925.93
4078471,606060,AZN,4,163.8,Nizami,Bakı,3700.0
6382259,383775,AZN,2,90.3,Nardaran,Bakı,4250.0
6462931,199000,AZN,3,107.0,Zığ,Bakı,1859.81
6321462,342000,AZN,3,148.0,Həzi Aslanov,Bakı,2310.81
6480014,148000,AZN,2,55.0,20 Yanvar,Bakı,2690.91
6457552,270000,AZN,1,46.0,Nardaran,Bakı,5869.57
6473124,115000,AZN,1,44.0,Sea Breeze,Bakı,2613.64
6473127,170000,AZN,2,65.0,Sea Breeze,Bakı,2615.38
6473129,120000,AZN,1,44.0,Sea Breeze,Bakı,2727.27
6473131,91000,AZN,1,38.0,Sea Breeze,Bakı,2394.74
5863380,395148,AZN,2,89.4,Nardaran,Bakı,4420.0
5863392,454580,AZN,3,95.5,Nardaran,Bakı,4760.0
6184625,690000,AZN,4,210.0,İçəri Şəhər,Bakı,3285.71
6346834,385000,AZN,3,116.0,28 May,Bakı,3318.97
6477040,68000,AZN,3,110.0,Dübəndi,Bakı,618.18
6459403,170000,AZN,2,65.6,20 Yanvar,Bakı,2591.46
5647358,395000,AZN,3,140.0,Nəriman Nərimanov,Bakı,2821.43
6347322,570000,AZN,4,210.0,Nəsimi,Bakı,2714.29
6480790,199000,AZN,3,80.0,Həzi Aslanov,Bakı,2487.5
6352409,350000,AZN,6,390.0,Pirşağı,Bakı,897.44
6438598,255000,AZN,2,65.0,Dərnəgül,Bakı,3923.08
6447846,650000,AZN,4,195.0,28 May,Bakı,3333.33
6385382,195000,AZN,3,70.0,Memar Əcəmi,Bakı,2785.71
6458089,239000,AZN,3,90.0,Əhmədli,Bakı,2655.56
6384520,163000,AZN,2,58.0,Memar Əcəmi,Bakı,2810.34
6400993,210000,AZN,10,600.0,Novxanı,Bakı,350.0
6329692,105000,AZN,3,82.0,Binə,Bakı,1280.49
6473339,178000,AZN,3,76.0,Yeni Günəşli,Bakı,2342.11
6379586,115000,AZN,2,50.0,Həzi Aslanov,Bakı,2300.0
6336682,325000,AZN,3,100.0,Şah İsmayıl Xətai,Bakı,3250.0
6419742,494784,AZN,4,154.6,Badamdar,Bakı,3200.41
6471657,188000,AZN,5,150.0,Bakıxanov,Bakı,1253.33
6480660,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı,4500.0
6419736,332134,AZN,2,107.4,Badamdar,Bakı,3092.5
6467295,435000,AZN,4,190.0,Nəsimi,Bakı,2289.47
6020217,495000,AZN,3,93.0,Sea Breeze,Bakı,5322.58
6476374,187000,AZN,3,80.0,Bakıxanov,Bakı,2337.5
6401072,1750000,AZN,7,600.0,Şıxov,Bakı,2916.67
5979204,690000,AZN,6,230.0,Buzovna,Bakı,3000.0
6411794,565000,AZN,3,120.0,Nizami,Bakı,4708.33
6279253,499000,AZN,3,200.0,Mərdəkan,Bakı,2495.0
6422602,650000,AZN,3,400.0,Nəriman Nərimanov,Bakı,1625.0
6365591,458000,AZN,3,117.0,Gənclik,Bakı,3914.53
6224089,131800,AZN,2,44.0,Əhmədli,Bakı,2995.45
6479654,145000,AZN,3,55.0,Həzi Aslanov,Bakı,2636.36
6474700,695000,AZN,4,152.0,Nəsimi,Bakı,4572.37
6419656,410000,AZN,3,152.0,Badamdar,Bakı,2697.37
6394866,159558,AZN,1,58.0,Yeni Yasamal,Bakı,2751.0
6394910,204120,AZN,2,81.0,Yeni Yasamal,Bakı,2520.0
6342611,278999,AZN,2,80.0,8 Noyabr,Bakı,3487.49
6395050,292404,AZN,3,118.0,Yeni Yasamal,Bakı,2478.0
6395144,321930,AZN,4,146.0,Yeni Yasamal,Bakı,2205.0
6454101,285000,AZN,2,110.0,Nəsimi,Bakı,2590.91
6409676,79500,AZN,2,87.0,Masazır,Bakı,913.79
5902710,191000,AZN,3,95.0,Lökbatan,Bakı,2010.53
6437192,450000,AZN,2,101.0,Nəriman Nərimanov,Bakı,4455.45
6479709,138000,AZN,2,50.0,20 Yanvar,Bakı,2760.0
6458506,149000,AZN,4,120.0,Masazır,Bakı,1241.67
6357130,200000,AZN,2,65.0,Gənclik,Bakı,3076.92
6432514,239000,AZN,1,49.8,Sea Breeze,Bakı,4799.2
6375171,256000,AZN,2,72.1,7-ci mikrorayon,Bakı,3550.62
6475474,235000,AZN,3,101.0,Həzi Aslanov,Bakı,2326.73
6479533,380000,AZN,6,250.0,Bilgəh,Bakı,1520.0
6134388,227000,AZN,8,205.0,Mehdiabad,Bakı,1107.32
6479001,550000,AZN,4,170.0,Nəsimi,Bakı,3235.29
6223078,310000,AZN,3,144.0,28 May,Bakı,2152.78
6286399,224000,AZN,3,114.0,Həzi Aslanov,Bakı,1964.91
6475707,230000,AZN,4,211.6,Pirallahı,Bakı,1086.96
5566735,429000,AZN,4,173.0,Koroğlu,Bakı,2479.77
6430058,309000,AZN,5,230.0,Novxanı,Bakı,1343.48
6409683,310000,AZN,3,137.0,8-ci kilometr,Bakı,2262.77
6221698,795000,AZN,4,185.0,Elmlər Akademiyası,Bakı,4297.3
6394378,86500,AZN,2,55.0,Masazır,Bakı,1572.73
6480678,209000,AZN,4,190.0,Buzovna,Bakı,1100.0
5301180,83000,AZN,2,45.0,Masazır,Bakı,1844.44
6248502,83000,AZN,2,44.0,Masazır,Bakı,1886.36
6306555,430000,AZN,5,364.0,Şağan,Bakı,1181.32
6475320,210000,AZN,2,70.0,Yasamal,Bakı,3000.0
6478857,234500,AZN,2,75.0,İçəri Şəhər,Bakı,3126.67
6260372,149000,AZN,3,120.0,Novxanı,Bakı,1241.67
6464046,345000,AZN,3,116.0,Memar Əcəmi,Bakı,2974.14
6433422,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı,4500.0
6319499,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı,4500.0
6479261,400000,AZN,3,165.0,Nəriman Nərimanov,Bakı,2424.24
6473282,400000,AZN,6,315.0,Nəriman Nərimanov,Bakı,1269.84
6461236,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı,4500.0
6477914,204000,AZN,2,59.0,Nəriman Nərimanov,Bakı,3457.63
6453668,365000,AZN,3,92.0,Nəsimi,Bakı,3967.39
6081441,187000,AZN,2,65.0,Əhmədli,Bakı,2876.92
6478495,118000,AZN,4,85.0,Bülbülə,Bakı,1388.24
6080561,202000,AZN,3,96.0,Həzi Aslanov,Bakı,2104.17
6479901,165000,AZN,2,70.0,Yeni Yasamal,Bakı,2357.14
6478810,285000,AZN,3,107.0,Əhmədli,Bakı,2663.55
6447067,165000,AZN,1,62.0,Həzi Aslanov,Bakı,2661.29
6476193,185000,AZN,3,83.0,Bakıxanov,Bakı,2228.92
6148675,270000,AZN,3,101.0,Nəriman Nərimanov,Bakı,2673.27
6480102,235000,AZN,4,160.0,Mərdəkan,Bakı,1468.75
6412525,143000,AZN,2,65.0,Abşeron,Xırdalan,2200.0
6477277,160000,AZN,2,114.0,28 May,Bakı,1403.51
6459503,248000,AZN,3,107.0,Həzi Aslanov,Bakı,2317.76
6386350,249000,AZN,3,103.0,Xalqlar Dostluğu,Bakı,2417.48
6478417,117500,AZN,4,90.0,Bülbülə,Bakı,1305.56
6371660,265000,AZN,2,100.0,Binəqədi,Bakı,2650.0
6446498,207000,AZN,3,95.0,Abşeron,Xırdalan,2178.95
6478405,289000,AZN,4,120.0,Nəsimi,Bakı,2408.33
6358673,215000,AZN,2,80.0,Nizami,Bakı,2687.5
6375319,295000,AZN,2,100.0,Elmlər Akademiyası,Bakı,2950.0
6406672,153000,AZN,3,70.0,Keşlə,Bakı,2185.71
