id,price,currency,rooms,area,location,city
6431979,257499,AZN,1,56.1,Nardaran,Bakı
6457609,130000,AZN,,5.5,Fatmayı,Bakı
6439440,85000,AZN,3,100.0,Abşeron,Bakı
6443448,255000,AZN,3,80.0,Yasamal,Bakı
6418708,365000,AZN,4,142.0,Qara Qarayev,Bakı
3466697,909500,AZN,5,267.5,Nizami,Bakı
6386543,735000,AZN,4,160.0,Nizami,Bakı
5044313,456000,AZN,2,114.0,Nizami,Bakı
6475575,800,AZN,2,85.0,Qara Qarayev,Bakı
5047008,783360,AZN,4,230.4,Nizami,Bakı
5047084,909500,AZN,5,267.5,Nəsimi,Bakı
5786668,416000,AZN,2,104.0,Nizami,Bakı
6472459,114000,AZN,3,80.0,Masazır,Bakı
5555449,449616,AZN,2,82.7,Sea Breeze,Bakı
5786592,348000,AZN,2,87.0,Nizami,Bakı
5047211,592960,AZN,3,174.4,Nizami,Bakı
6458467,260000,AZN,4,135.0,Xocəsən,Bakı
4078471,606060,AZN,4,163.8,Nizami,Bakı
6382259,383775,AZN,2,90.3,Nardaran,Bakı
6462931,199000,AZN,3,107.0,Zığ,Bakı
6321462,342000,AZN,3,148.0,Həzi Aslanov,Bakı
6480014,148000,AZN,2,55.0,20 Yanvar,Bakı
6447644,1200,AZN,2,104.0,Şah İsmayıl Xətai,Bakı
6332689,2500,AZN,,103.0,Gənclik,Bakı
6457552,270000,AZN,1,46.0,Nardaran,Bakı
6473124,115000,AZN,1,44.0,Sea Breeze,Bakı
6473127,170000,AZN,2,65.0,Sea Breeze,Bakı
6473129,120000,AZN,1,44.0,Sea Breeze,Bakı
6473131,91000,AZN,1,38.0,Sea Breeze,Bakı
5863380,395148,AZN,2,89.4,Nardaran,Bakı
5863392,454580,AZN,3,95.5,Nardaran,Bakı
6408660,1050600,AZN,,103.0,Gənclik,Bakı
6401117,3000,AZN,,156.0,Gənclik,Bakı
6401165,7000,AZN,,827.0,Gənclik,Bakı
6184625,690000,AZN,4,210.0,İçəri Şəhər,Bakı
6346834,385000,AZN,3,116.0,28 May,Bakı
4472923,118400,AZN,2,74.0,,Sumqayıt
6477040,68000,AZN,3,110.0,Dübəndi,Bakı
6459403,170000,AZN,2,65.6,20 Yanvar,Bakı
5647358,395000,AZN,3,140.0,Nəriman Nərimanov,Bakı
6347322,570000,AZN,4,210.0,Nəsimi,Bakı
6390499,108000,AZN,,6.0,Sea Breeze,Bakı
